LGA,Climate,Crop,pH,N,P,K,Temp,Rainfall,Salinity
Jos South,Highland,Tomato,3.75,170.41,81.14,174.1,14.36,407.13,1.32
Jos South,Highland,Tomato,5.72,88.21,51.29,178.34,25.33,569.74,0.38
Jos South,Highland,Tomato,5.35,117.87,48.75,191.45,17.55,681.14,2.04
Jos South,Highland,Tomato,6.94,117.98,56.24,300.0,18.74,601.62,0.73
Jos South,Highland,Tomato,5.87,121.61,70.23,168.52,18.37,536.66,0.38
Jos South,Highland,Tomato,5.76,118.38,124.76,120.0,22.97,745.23,0.38
Jos South,Highland,Tomato,5.24,114.99,48.75,157.77,13.95,750.0,1.4
Jos South,Highland,Tomato,7.11,146.86,55.65,169.56,20.5,457.56,1.25
Jos South,Highland,Tomato,5.36,114.89,103.95,214.65,17.02,735.12,0.38
Jos South,Highland,Tomato,6.35,143.11,77.16,209.15,13.5,707.7,0.62
Jos South,Highland,Groundnut,5.83,21.95,15.0,18.75,16.55,770.63,0.15
Jos South,Highland,Groundnut,7.18,7.5,50.0,28.32,21.66,636.49,0.49
Jos South,Highland,Groundnut,6.11,22.27,26.95,27.79,20.73,693.36,0.45
Jos South,Highland,Groundnut,5.12,7.94,36.13,27.97,21.36,702.15,0.47
Jos South,Highland,Groundnut,5.82,11.27,28.14,18.75,23.43,501.56,0.71
Jos South,Highland,Groundnut,6.42,17.31,39.63,41.05,25.55,485.45,0.15
Jos South,Highland,Groundnut,5.77,15.97,32.84,20.12,22.65,611.96,0.15
Jos South,Highland,Groundnut,5.3,10.42,11.25,18.75,25.69,589.35,1.27
Jos South,Highland,Groundnut,6.43,16.9,12.76,32.6,19.99,714.22,1.24
Jos South,Highland,Groundnut,6.08,22.53,15.02,26.17,28.2,626.93,0.98
Jos South,Highland,Groundnut,6.56,12.53,34.51,34.98,24.18,516.99,0.15
Jos South,Highland,Groundnut,5.99,15.38,34.34,28.03,17.33,744.31,0.56
Jos South,Highland,Groundnut,6.47,22.13,37.46,30.49,21.75,506.42,0.5
Jos South,Highland,Groundnut,6.26,17.4,11.25,18.75,25.69,695.39,0.59
Jos South,Highland,Groundnut,6.15,15.99,38.98,21.96,22.34,646.12,0.19
Jos South,Highland,Groundnut,5.95,17.12,18.3,37.46,18.87,678.22,0.19
Jos South,Highland,Groundnut,7.0,16.97,40.34,18.75,22.93,803.69,0.38
Jos South,Highland,Groundnut,6.77,12.79,45.85,46.59,20.73,648.08,0.86
Jos South,Highland,Groundnut,7.08,12.76,19.15,24.01,17.29,592.93,0.15
Jos South,Highland,Groundnut,5.68,15.61,28.7,40.04,18.51,814.72,0.27
Jos South,Highland,Groundnut,6.11,19.76,11.25,29.82,22.58,757.4,0.45
Jos South,Highland,Groundnut,7.6,12.09,17.53,21.02,20.06,625.71,0.76
Jos South,Highland,Groundnut,6.98,12.48,13.14,30.6,20.07,773.77,0.42
Jos South,Highland,Groundnut,5.24,24.86,50.0,21.11,20.64,733.32,0.46
Jos South,Highland,Groundnut,6.53,25.0,22.7,19.49,17.17,614.81,0.34
Jos South,Highland,Groundnut,7.21,12.79,28.55,26.33,26.16,875.0,0.16
Jos South,Highland,Groundnut,5.85,21.92,35.24,42.63,24.04,658.12,0.55
Jos South,Highland,Groundnut,6.8,20.61,32.69,35.81,26.09,861.09,0.57
Jos South,Highland,Groundnut,6.04,16.67,42.89,19.32,23.29,654.16,0.36
Jos South,Highland,Groundnut,6.9,16.93,25.96,18.75,24.61,775.23,1.1
Jos South,Highland,Groundnut,5.95,17.1,28.92,40.28,21.67,732.52,0.56
Jos South,Highland,Groundnut,6.25,13.21,28.12,35.87,18.41,715.5,0.15
Jos South,Highland,Groundnut,6.85,7.5,17.13,29.77,27.48,692.34,0.15
Jos South,Highland,Groundnut,7.26,7.5,11.25,30.32,20.24,580.98,0.59
Jos South,Highland,Groundnut,6.28,12.52,11.25,34.11,24.28,688.44,0.99
Jos South,Highland,Groundnut,5.5,7.5,15.19,26.07,22.85,671.88,0.47
Jos South,Highland,Groundnut,5.39,24.26,24.08,36.25,23.2,753.23,0.55
Jos South,Highland,Groundnut,6.4,19.57,44.68,28.19,24.48,689.54,0.85
Jos South,Highland,Groundnut,5.73,25.0,24.7,18.75,22.45,620.62,0.64
Jos South,Highland,Groundnut,5.75,13.21,11.25,22.52,16.5,515.4,0.61
Jos South,Highland,Groundnut,6.6,18.3,11.25,26.06,21.99,564.99,0.87
Jos South,Highland,Groundnut,6.66,14.53,25.68,28.3,16.5,671.19,0.15
Jos South,Highland,Groundnut,5.54,14.17,50.0,32.08,20.0,766.73,0.84
Jos South,Highland,Groundnut,6.69,16.17,15.84,32.58,23.38,804.33,0.57
Jos South,Highland,Groundnut,6.76,12.69,44.51,28.2,29.26,619.68,0.95
Jos South,Highland,Groundnut,6.26,12.01,18.22,23.67,23.48,760.94,0.15
Jos South,Highland,Groundnut,6.12,25.0,50.0,30.29,22.13,713.99,0.56
Jos South,Highland,Groundnut,5.53,14.31,11.25,29.97,24.27,643.68,0.9
Jos South,Highland,Groundnut,5.41,7.5,28.56,35.64,27.89,646.52,0.72
Jos South,Highland,Groundnut,6.11,14.81,38.18,32.18,16.5,872.09,0.83
Jos South,Highland,Pepper,5.34,152.03,42.49,78.32,16.61,770.42,0.93
Jos South,Highland,Pepper,6.91,158.08,29.87,91.73,13.5,1460.44,0.45
Jos South,Highland,Pepper,5.57,89.97,18.75,101.94,17.04,1156.34,0.91
Jos South,Highland,Pepper,6.3,138.96,18.75,97.63,16.91,450.0,0.65
Jos South,Highland,Pepper,7.2,170.63,30.2,62.31,17.81,1562.5,1.21
Jos South,Highland,Pepper,6.26,178.01,38.77,64.67,18.47,997.86,0.92
Jos South,Highland,Pepper,6.52,137.94,45.98,69.35,19.91,450.0,1.59
Jos South,Highland,Pepper,6.19,176.69,18.75,125.0,18.77,1445.06,0.45
Jos South,Highland,Pepper,6.42,92.68,26.18,121.72,18.5,1107.42,1.56
Jos South,Highland,Pepper,6.32,141.98,40.61,125.0,19.2,1101.23,1.68
Jos South,Highland,Pepper,6.85,184.43,44.61,41.47,28.08,590.48,1.16
Jos South,Highland,Pepper,5.23,133.19,40.08,79.91,21.72,1562.5,1.26
Jos South,Highland,Pepper,5.67,175.3,52.64,41.25,22.64,1290.78,0.74
Jos South,Highland,Pepper,7.09,129.67,37.12,66.93,19.58,609.46,0.45
Jos South,Highland,Pepper,7.28,101.13,20.81,41.25,16.15,523.48,2.1
Jos South,Highland,Pepper,6.77,107.64,62.5,97.24,17.79,450.0,2.5
Jos South,Highland,Pepper,4.67,75.0,50.21,125.0,26.77,1238.75,1.36
Jos South,Highland,Pepper,6.63,166.9,39.39,74.21,19.17,739.21,0.75
Jos South,Highland,Pepper,4.41,131.79,20.86,42.5,20.44,1552.64,1.59
Jos South,Highland,Pepper,4.51,95.29,49.01,45.68,18.32,1233.5,0.45
Jos South,Highland,Pepper,5.98,81.19,26.51,79.87,13.5,1191.96,0.93
Jos South,Highland,Pepper,6.37,144.99,55.19,74.76,17.25,1071.36,1.33
Jos South,Highland,Pepper,5.93,137.48,25.04,54.07,13.5,1562.5,0.45
Jos South,Highland,Pepper,5.28,106.4,48.35,63.73,26.05,769.71,1.14
Jos South,Highland,Pepper,5.16,212.5,18.75,79.61,22.83,1181.85,0.82
Jos South,Highland,Pepper,5.77,137.61,33.14,96.77,31.11,813.68,0.45
Jos South,Highland,Pepper,5.81,212.5,23.55,114.5,28.31,815.16,1.35
Jos South,Highland,Pepper,7.31,120.29,32.31,56.2,14.17,778.89,0.45
Jos South,Highland,Pepper,5.92,104.29,38.7,41.25,21.24,1340.95,0.45
Jos South,Highland,Pepper,6.21,186.09,18.75,115.38,21.7,757.77,0.91
Jos South,Highland,Pepper,6.38,138.93,43.15,47.31,20.39,489.13,0.87
Jos South,Highland,Pepper,5.1,105.7,53.32,100.12,22.7,610.96,0.73
Jos South,Highland,Pepper,6.95,141.62,62.5,81.8,20.51,907.83,1.04
Jos South,Highland,Pepper,5.75,164.81,49.25,50.84,13.5,450.0,1.3
Jos South,Highland,Pepper,4.92,75.0,40.96,125.0,19.47,1342.83,1.0
Jos South,Highland,Pepper,5.8,173.45,31.05,78.49,21.19,771.76,1.64
Jos South,Highland,Pepper,5.73,104.87,43.11,47.89,19.65,1021.54,1.71
Jos South,Highland,Pepper,6.3,134.79,47.22,107.97,22.43,1028.92,0.45
Jos South,Highland,Pepper,4.96,123.32,26.39,66.57,19.8,1225.78,0.9
Jos South,Highland,Pepper,6.31,138.46,18.75,46.82,18.74,566.47,1.37
Jos South,Highland,Pepper,7.23,185.73,32.17,110.6,20.28,897.23,0.52
Jos South,Highland,Pepper,5.62,119.92,37.77,75.69,19.52,1190.62,1.78
Jos South,Highland,Pepper,6.72,75.01,18.75,96.0,13.5,939.8,0.45
Jos South,Highland,Pepper,4.31,157.99,46.36,56.34,13.5,817.95,1.22
Jos South,Highland,Pepper,4.59,143.33,35.06,86.68,20.13,656.16,1.78
Jos South,Highland,Pepper,5.75,134.7,21.66,59.84,14.85,959.44,2.15
Jos South,Highland,Pepper,4.69,75.0,56.76,65.98,15.99,1419.18,0.52
Jos South,Highland,Pepper,7.49,163.58,28.16,125.0,16.32,1306.29,1.16
Jos South,Highland,Pepper,7.03,199.76,35.75,51.7,21.91,768.11,2.36
Jos South,Highland,Pepper,6.01,120.86,37.98,41.25,14.4,1480.02,0.49
Jos South,Highland,Cabbage,5.51,141.46,65.66,121.55,22.12,487.02,0.15
Jos South,Highland,Cabbage,7.03,116.41,53.09,132.22,18.54,571.91,1.36
Jos South,Highland,Cabbage,5.75,152.87,55.78,113.67,26.46,575.55,0.67
Jos South,Highland,Cabbage,6.78,115.18,47.94,90.69,7.5,625.0,0.15
Jos South,Highland,Cabbage,6.01,117.75,57.97,123.25,21.02,499.18,0.38
Jos South,Highland,Cabbage,6.31,118.57,69.35,117.57,19.99,586.4,0.94
Jos South,Highland,Cabbage,6.24,88.01,58.78,97.57,9.69,581.05,0.97
Jos South,Highland,Cabbage,6.15,134.82,70.18,113.19,30.0,579.59,0.15
Jos South,Highland,Cabbage,6.59,136.93,66.57,120.75,12.87,454.3,0.36
Jos South,Highland,Cabbage,5.63,108.89,60.43,138.2,17.22,456.29,0.63
Jos South,Highland,Cabbage,6.85,108.04,54.11,109.23,7.6,585.38,0.4
Jos South,Highland,Cabbage,6.39,99.94,51.46,121.61,10.96,625.0,0.28
Jos South,Highland,Cabbage,6.27,153.01,42.87,78.16,7.5,625.0,0.22
Jos South,Highland,Cabbage,7.66,109.37,56.9,135.96,30.0,625.0,0.95
Jos South,Highland,Cabbage,6.75,143.09,62.09,99.33,7.5,539.76,0.38
Jos South,Highland,Cabbage,5.87,146.12,63.64,110.52,26.05,460.08,0.37
Jos South,Highland,Cabbage,5.71,75.0,54.56,106.84,26.34,584.16,0.15
Jos South,Highland,Cabbage,7.24,161.42,60.38,105.01,7.5,513.95,0.9
Jos South,Highland,Cabbage,7.26,170.81,51.01,89.38,15.15,416.21,0.58
Jos South,Highland,Cabbage,6.05,112.23,41.33,117.96,9.66,458.11,0.15
Jos South,Highland,Cabbage,6.12,177.49,69.82,100.97,9.09,572.81,0.15
Jos South,Highland,Cabbage,6.32,148.15,66.02,107.22,12.34,478.54,0.15
Jos South,Highland,Cabbage,6.0,136.53,63.28,94.92,26.17,521.02,0.44
Jos South,Highland,Cabbage,5.69,75.0,63.02,121.87,11.71,544.69,0.66
Jos South,Highland,Cabbage,5.21,110.39,62.23,87.02,16.39,445.04,0.64
Jos South,Highland,Cabbage,6.12,78.73,65.48,96.12,7.5,554.04,0.93
Jos South,Highland,Cabbage,5.53,127.62,59.04,121.1,15.44,514.31,0.15
Jos South,Highland,Cabbage,6.19,94.56,37.5,116.61,21.37,374.59,0.15
Jos South,Highland,Cabbage,6.51,185.8,55.47,96.23,12.51,625.0,0.18
Jos South,Highland,Cabbage,5.66,111.74,46.94,111.12,27.25,562.62,0.34
Jos South,Highland,Cabbage,5.96,80.24,63.01,107.61,12.53,625.0,0.57
Jos South,Highland,Cabbage,5.69,113.39,65.33,110.96,7.5,604.35,0.17
Jos South,Highland,Cabbage,7.25,157.31,51.37,131.39,14.55,599.69,0.65
Jos South,Highland,Cabbage,5.63,107.05,64.3,103.11,10.71,473.14,0.62
Jos South,Highland,Cabbage,7.36,94.69,55.5,133.69,13.35,571.67,0.15
Jos South,Highland,Cabbage,6.39,120.36,63.91,129.75,30.0,580.57,0.58
Jos South,Highland,Cabbage,6.25,115.52,58.25,103.8,15.37,625.0,0.15
Jos South,Highland,Cabbage,6.82,164.22,54.25,75.0,9.04,625.0,0.44
Jos South,Highland,Cabbage,5.54,111.1,62.64,118.54,12.05,514.32,0.28
Jos South,Highland,Cabbage,5.59,172.91,52.46,130.27,26.41,609.88,0.27
Jos South,Highland,Cabbage,6.38,125.11,47.38,114.65,7.5,623.14,0.25
Jos South,Highland,Cabbage,6.26,134.08,53.02,119.24,10.13,600.99,0.15
Jos South,Highland,Cabbage,6.21,182.35,46.53,97.11,18.19,552.57,0.59
Jos South,Highland,Cabbage,6.43,144.32,64.99,116.14,12.03,587.08,1.24
Jos South,Highland,Cabbage,6.06,97.4,64.97,106.87,7.5,599.32,0.22
Jos South,Highland,Cabbage,6.08,135.5,56.95,121.39,10.45,575.92,0.34
Jos South,Highland,Cabbage,6.58,143.76,47.1,127.98,9.63,596.56,0.6
Jos South,Highland,Cabbage,7.23,119.3,52.23,108.63,11.53,596.0,0.15
Jos South,Highland,Cabbage,5.51,94.69,63.6,138.91,13.15,528.18,0.48
Jos South,Highland,Cabbage,6.83,98.78,57.37,126.04,18.09,553.27,0.87
Jos South,Highland,Maize,4.12,195.58,51.34,45.0,23.38,990.39,0.65
Jos South,Highland,Maize,7.24,222.82,85.79,112.26,24.45,763.2,0.3
Jos South,Highland,Maize,5.85,151.23,100.0,69.87,21.57,846.51,0.78
Jos South,Highland,Maize,8.1,157.66,66.19,56.64,15.0,642.94,0.72
Jos South,Highland,Maize,5.64,155.63,38.17,72.03,15.0,883.01,0.8
Jos South,Highland,Maize,4.45,166.8,49.62,81.42,27.24,421.84,0.83
Jos South,Highland,Maize,5.95,195.39,66.51,56.42,19.51,610.7,1.5
Jos South,Highland,Maize,6.16,231.25,61.72,57.44,15.0,434.45,0.3
Jos South,Highland,Maize,6.45,190.65,37.5,94.87,18.75,775.69,1.88
Jos South,Highland,Maize,7.17,167.99,47.19,45.0,17.65,713.05,0.3
Jos South,Highland,Maize,5.99,178.06,58.85,58.8,21.79,827.34,0.3
Jos South,Highland,Maize,7.77,172.94,63.11,90.51,22.09,916.8,0.95
Jos South,Highland,Maize,5.43,186.36,42.77,76.51,20.85,713.58,0.66
Jos South,Highland,Maize,4.12,159.82,64.41,77.71,16.22,971.5,0.3
Jos South,Highland,Maize,7.26,188.27,51.47,115.42,15.44,910.85,1.45
Jos South,Highland,Maize,5.36,216.41,58.41,80.71,22.21,726.5,1.31
Jos South,Highland,Maize,7.05,124.84,85.61,45.0,25.81,947.17,0.3
Jos South,Highland,Maize,5.66,143.58,59.02,66.78,24.63,979.3,1.72
Jos South,Highland,Maize,5.49,169.72,37.5,55.16,25.49,1000.0,0.3
Jos South,Highland,Maize,5.45,175.05,67.69,55.07,22.97,667.08,0.74
Jos South,Highland,Maize,6.77,176.0,55.15,71.41,20.59,685.25,0.57
Jos South,Highland,Maize,7.98,192.17,57.61,90.24,19.45,955.3,1.01
Jos South,Highland,Maize,6.01,188.87,37.5,47.67,15.44,775.02,1.96
Jos South,Highland,Maize,8.71,194.42,71.55,45.0,18.47,612.14,0.31
Jos South,Highland,Maize,5.94,162.05,37.5,91.43,16.01,791.87,2.2
Jos South,Highland,Maize,5.08,112.5,57.78,99.68,30.12,534.83,1.09
Jos South,Highland,Maize,5.6,172.73,100.0,45.0,22.18,831.85,1.51
Jos South,Highland,Maize,6.25,184.8,55.93,80.26,19.4,858.78,0.49
Jos South,Highland,Maize,6.57,174.96,82.49,72.77,15.0,970.84,0.3
Jos South,Highland,Maize,5.38,158.45,86.84,45.0,35.0,934.81,0.9
Jos South,Highland,Maize,6.07,184.14,71.9,89.04,23.59,765.68,0.61
Jos South,Highland,Maize,5.96,170.13,82.62,87.83,15.0,864.78,0.88
Jos South,Highland,Maize,6.12,164.49,82.46,96.09,17.4,821.23,0.3
Jos South,Highland,Maize,4.54,157.55,77.88,96.22,23.39,876.89,1.11
Jos South,Highland,Maize,5.4,188.41,76.79,91.58,26.53,873.95,0.99
Jos South,Highland,Maize,7.37,175.04,47.35,70.17,17.53,631.84,0.65
Jos South,Highland,Maize,5.22,166.84,37.5,78.95,21.01,607.01,1.21
Jos South,Highland,Maize,7.22,128.95,49.44,56.02,16.62,895.16,0.61
Jos South,Highland,Maize,5.83,117.39,73.9,45.04,21.28,798.54,1.7
Jos South,Highland,Maize,4.63,112.5,66.0,116.01,26.77,786.69,0.4
Jos South,Highland,Maize,7.07,147.43,71.12,85.77,25.94,1000.0,1.02
Jos South,Highland,Maize,5.55,175.07,37.5,57.76,19.09,658.28,0.85
Jos South,Highland,Maize,5.19,208.5,62.79,73.76,19.47,777.16,1.32
Jos South,Highland,Maize,5.14,156.63,57.47,45.0,17.19,666.66,1.36
Jos South,Highland,Maize,6.44,181.46,77.67,70.77,22.82,731.94,0.93
Jos South,Highland,Maize,5.46,112.5,60.43,107.19,25.31,918.94,1.61
Jos South,Highland,Maize,6.24,181.57,51.98,66.59,23.87,960.68,0.65
Jos South,Highland,Maize,5.62,175.83,73.31,45.0,15.0,653.66,0.3
Jos South,Highland,Maize,5.55,171.51,54.85,107.88,22.52,802.58,1.18
Jos South,Highland,Maize,4.82,206.11,61.46,89.63,16.01,478.09,1.32
Jos South,Highland,Wheat,7.07,99.52,32.7,47.9,11.25,812.5,0.6
Jos South,Highland,Wheat,7.37,116.24,41.31,23.53,14.03,654.77,0.6
Jos South,Highland,Wheat,7.49,110.85,36.45,18.75,11.25,627.74,3.12
Jos South,Highland,Wheat,7.54,125.26,36.25,31.8,16.09,512.38,2.22
Jos South,Highland,Wheat,7.46,146.76,40.35,31.76,16.45,718.98,0.94
Jos South,Highland,Wheat,5.97,128.79,46.84,18.75,11.25,669.2,1.29
Jos South,Highland,Wheat,6.84,132.93,36.48,53.22,11.25,553.44,1.16
Jos South,Highland,Wheat,4.74,120.69,47.5,31.78,15.17,503.13,0.71
Jos South,Highland,Wheat,6.2,116.55,45.28,39.61,11.27,678.73,1.68
Jos South,Highland,Wheat,7.95,171.9,31.85,19.64,11.25,622.72,1.65
Jos South,Highland,Wheat,7.78,123.6,35.91,33.69,12.07,812.5,0.6
Jos South,Highland,Wheat,6.85,184.82,37.82,28.7,13.46,628.98,2.45
Jos South,Highland,Wheat,4.5,170.52,29.46,27.58,13.25,718.6,0.6
Jos South,Highland,Wheat,7.17,184.84,29.82,34.24,12.58,699.64,1.26
Jos South,Highland,Wheat,5.9,140.04,48.33,28.69,16.59,499.27,0.6
Jos South,Highland,Wheat,7.18,169.09,39.86,26.9,14.5,504.26,1.78
Jos South,Highland,Wheat,7.66,112.64,35.04,35.35,13.23,642.29,3.08
Jos South,Highland,Wheat,6.35,115.37,34.0,42.33,13.97,574.32,2.4
Jos South,Highland,Wheat,8.28,108.31,26.87,46.18,12.51,742.15,0.6
Jos South,Highland,Wheat,7.67,90.51,42.06,31.68,11.73,602.56,1.85
Jos South,Highland,Wheat,6.76,142.86,49.34,18.75,19.2,662.16,0.6
Jos South,Highland,Wheat,5.1,120.3,43.17,29.61,18.89,480.87,1.24
Jos South,Highland,Wheat,5.19,136.42,42.97,25.33,11.25,673.19,1.63
Jos South,Highland,Wheat,7.1,161.85,31.52,41.4,17.96,442.71,1.53
Jos South,Highland,Wheat,6.05,123.44,39.82,24.36,12.54,653.98,0.6
Jos South,Highland,Wheat,5.38,145.62,31.07,41.2,15.84,448.86,0.65
Jos South,Highland,Wheat,8.02,97.21,35.07,38.22,16.78,620.68,0.72
