LGA,Climate,Crop,N,P,K,pH,Temp,Rainfall,Salinity
Qua'an-Pan,Lowland,Tomato,130.73,74.88,180.2,4.73,28.83,468.03,1.72
Qua'an-Pan,Lowland,Groundnut,25.0,21.23,47.08,6.32,34.04,438.7,0.99
Qua'an-Pan,Lowland,Groundnut,25.0,50.0,33.47,6.51,26.2,705.31,0.48
Qua'an-Pan,Lowland,Groundnut,25.0,20.04,37.55,6.77,29.53,495.14,0.97
Qua'an-Pan,Lowland,Groundnut,25.0,50.0,44.36,7.25,30.16,375.0,1.13
Qua'an-Pan,Lowland,Groundnut,25.0,48.83,46.01,7.88,27.19,437.4,0.67
Qua'an-Pan,Lowland,Groundnut,25.0,31.62,30.85,7.5,24.21,554.88,0.15
Qua'an-Pan,Lowland,Groundnut,25.0,38.36,40.5,7.26,28.23,427.11,0.6
Qua'an-Pan,Lowland,Groundnut,25.0,49.84,50.0,7.97,25.64,375.0,1.24
Qua'an-Pan,Lowland,Groundnut,25.0,28.86,46.6,6.71,29.2,557.51,1.41
Qua'an-Pan,Lowland,Groundnut,25.0,17.72,43.91,7.42,22.41,488.3,0.94
Qua'an-Pan,Lowland,Groundnut,25.0,42.03,37.01,7.3,25.07,582.68,0.17
Qua'an-Pan,Lowland,Groundnut,25.0,38.45,38.24,6.55,32.75,471.18,1.22
Qua'an-Pan,Lowland,Groundnut,25.0,20.08,30.61,7.43,28.04,564.72,0.5
Qua'an-Pan,Lowland,Groundnut,25.0,28.44,50.0,6.86,24.27,524.14,0.86
Qua'an-Pan,Lowland,Groundnut,25.0,37.23,35.82,6.93,27.89,503.21,0.62
Qua'an-Pan,Lowland,Groundnut,25.0,31.31,44.23,6.8,31.13,463.95,0.88
Qua'an-Pan,Lowland,Groundnut,24.59,31.41,33.31,5.89,25.98,668.45,0.8
Qua'an-Pan,Lowland,Groundnut,25.0,41.44,28.49,6.74,27.91,624.34,0.91
Qua'an-Pan,Lowland,Groundnut,25.0,37.17,45.22,6.5,30.66,684.4,0.35
Qua'an-Pan,Lowland,Groundnut,25.0,37.78,40.09,6.36,31.94,410.56,1.25
Qua'an-Pan,Lowland,Groundnut,25.0,23.11,48.24,6.55,27.43,494.02,1.05
Qua'an-Pan,Lowland,Groundnut,25.0,36.1,45.36,6.38,27.1,786.49,0.64
Qua'an-Pan,Lowland,Groundnut,25.0,36.94,47.76,5.97,27.99,665.89,0.9
Qua'an-Pan,Lowland,Groundnut,25.0,22.49,26.72,7.04,31.65,375.0,1.23
Qua'an-Pan,Lowland,Groundnut,25.0,11.25,36.68,6.77,32.5,575.92,0.77
Qua'an-Pan,Lowland,Groundnut,25.0,37.74,39.38,5.01,22.02,709.32,0.92
Qua'an-Pan,Lowland,Groundnut,25.0,22.59,31.83,7.18,26.74,442.45,0.93
Qua'an-Pan,Lowland,Groundnut,25.0,21.0,32.18,5.89,23.09,628.79,1.03
Qua'an-Pan,Lowland,Groundnut,25.0,36.94,34.09,7.02,27.3,480.35,0.72
Qua'an-Pan,Lowland,Groundnut,25.0,29.62,41.0,6.3,24.38,648.88,1.16
Qua'an-Pan,Lowland,Groundnut,25.0,32.84,38.17,6.74,28.54,464.04,1.1
Qua'an-Pan,Lowland,Groundnut,25.0,40.92,40.83,6.45,31.0,521.97,0.82
Qua'an-Pan,Lowland,Groundnut,25.0,50.0,49.47,6.52,21.01,639.94,0.37
Qua'an-Pan,Lowland,Groundnut,25.0,44.77,50.0,6.7,26.92,720.07,0.56
Qua'an-Pan,Lowland,Groundnut,25.0,39.05,50.0,6.95,25.11,528.75,1.11
Qua'an-Pan,Lowland,Groundnut,25.0,50.0,50.0,7.23,27.81,376.0,0.96
Qua'an-Pan,Lowland,Groundnut,25.0,17.85,38.63,6.97,28.39,375.0,1.26
Qua'an-Pan,Lowland,Groundnut,25.0,27.86,28.89,6.85,25.53,551.78,0.97
Qua'an-Pan,Lowland,Groundnut,25.0,12.6,39.52,7.37,28.93,420.36,0.97
Qua'an-Pan,Lowland,Groundnut,25.0,39.44,50.0,7.55,35.0,424.35,1.01
Qua'an-Pan,Lowland,Groundnut,25.0,24.74,47.06,7.22,27.16,591.47,0.81
Qua'an-Pan,Lowland,Groundnut,25.0,35.8,41.32,6.34,33.79,602.42,0.74
Qua'an-Pan,Lowland,Groundnut,25.0,46.06,30.6,6.82,31.08,383.27,1.42
Qua'an-Pan,Lowland,Groundnut,25.0,29.81,44.61,6.11,25.52,607.78,1.03
Qua'an-Pan,Lowland,Groundnut,25.0,42.6,32.03,7.13,20.07,622.4,0.64
Qua'an-Pan,Lowland,Groundnut,25.0,42.91,48.57,6.41,26.16,523.37,0.77
Qua'an-Pan,Lowland,Groundnut,25.0,11.25,21.04,6.75,28.68,496.1,1.02
Qua'an-Pan,Lowland,Groundnut,25.0,37.84,50.0,7.49,26.54,381.02,1.16
Qua'an-Pan,Lowland,Groundnut,25.0,50.0,46.61,7.59,23.23,375.0,0.93
Qua'an-Pan,Lowland,Groundnut,25.0,39.57,35.56,5.99,33.26,495.58,1.5
Qua'an-Pan,Lowland,Pepper,149.79,40.7,74.99,7.15,29.54,587.38,1.4
Qua'an-Pan,Lowland,Pepper,123.04,29.31,82.72,4.34,33.75,1269.0,1.77
Qua'an-Pan,Lowland,Pepper,194.35,40.28,125.0,6.32,27.98,688.99,1.91
Qua'an-Pan,Lowland,Pepper,140.22,32.43,112.78,7.2,27.29,1005.88,0.57
Qua'an-Pan,Lowland,Pepper,106.67,40.54,74.54,4.41,24.85,1392.99,2.23
Qua'an-Pan,Lowland,Pepper,113.27,40.6,65.2,6.31,26.18,986.85,1.29
Qua'an-Pan,Lowland,Pepper,153.41,42.85,67.05,7.81,24.16,1100.65,0.52
Qua'an-Pan,Lowland,Pepper,94.02,18.75,125.0,5.29,25.92,955.54,1.74
Qua'an-Pan,Lowland,Pepper,190.12,26.43,115.1,6.24,25.34,1058.44,1.87
Qua'an-Pan,Lowland,Pepper,152.39,18.75,78.21,6.37,25.57,1012.56,1.94
Qua'an-Pan,Lowland,Pepper,103.28,48.25,49.54,7.12,15.99,1242.67,0.45
Qua'an-Pan,Lowland,Pepper,167.69,43.32,85.74,5.85,24.6,539.09,2.5
Qua'an-Pan,Lowland,Pepper,127.49,54.03,47.94,6.12,23.2,731.27,1.54
Qua'an-Pan,Lowland,Pepper,151.02,44.21,79.37,6.32,23.24,1346.62,0.45
Qua'an-Pan,Lowland,Pepper,164.69,62.5,109.3,7.02,25.32,1430.58,0.87
Qua'an-Pan,Lowland,Pepper,193.83,31.03,44.87,8.3,25.92,1208.19,0.81
Qua'an-Pan,Lowland,Pepper,212.5,26.93,99.4,7.03,20.78,450.0,2.22
Qua'an-Pan,Lowland,Pepper,121.31,36.33,66.36,6.57,24.85,1147.61,0.75
Qua'an-Pan,Lowland,Pepper,164.2,62.5,117.51,6.49,26.79,450.0,2.5
Qua'an-Pan,Lowland,Pepper,212.5,62.5,88.22,6.52,28.67,450.0,1.83
Qua'an-Pan,Lowland,Pepper,203.1,50.15,119.13,5.9,32.72,866.52,2.01
Qua'an-Pan,Lowland,Pepper,153.44,38.85,52.31,6.23,27.09,1033.99,1.62
Qua'an-Pan,Lowland,Pepper,147.26,54.43,100.85,4.74,32.13,843.63,2.15
Qua'an-Pan,Lowland,Pepper,196.4,54.26,81.62,7.51,20.21,563.01,1.12
Qua'an-Pan,Lowland,Pepper,75.0,31.94,87.53,6.61,24.31,506.13,1.7
Qua'an-Pan,Lowland,Pepper,155.45,33.07,91.94,6.93,14.89,775.67,0.45
Qua'an-Pan,Lowland,Pepper,75.0,18.75,71.0,7.29,18.45,788.69,1.12
Qua'an-Pan,Lowland,Pepper,154.7,50.66,87.8,5.8,27.75,1442.74,0.45
Qua'an-Pan,Lowland,Pepper,185.23,62.5,90.98,5.46,23.22,838.8,1.02
Qua'an-Pan,Lowland,Pepper,97.48,18.75,96.42,6.87,23.44,965.51,0.99
Qua'an-Pan,Lowland,Pepper,151.04,54.2,70.61,7.24,23.77,1036.51,0.45
Qua'an-Pan,Lowland,Pepper,203.67,36.85,77.59,7.66,24.07,482.96,1.0
Qua'an-Pan,Lowland,Pepper,159.15,32.65,41.25,6.23,23.15,1284.33,0.97
Qua'an-Pan,Lowland,Pepper,135.66,50.18,56.74,7.78,32.72,766.36,0.94
Qua'an-Pan,Lowland,Pepper,212.5,29.55,118.77,6.39,26.97,450.0,2.41
Qua'an-Pan,Lowland,Pepper,118.64,36.79,81.62,7.28,24.42,786.52,1.41
Qua'an-Pan,Lowland,Pepper,189.82,61.28,86.31,6.83,25.26,759.48,1.79
Qua'an-Pan,Lowland,Pepper,161.47,25.11,69.66,6.04,22.37,1004.77,0.86
Qua'an-Pan,Lowland,Pepper,171.53,53.53,110.24,6.57,26.62,450.0,1.97
Qua'an-Pan,Lowland,Pepper,132.15,58.15,125.0,7.25,25.02,1009.65,0.87
Qua'an-Pan,Lowland,Pepper,95.84,18.75,68.8,5.93,23.08,1403.84,0.71
Qua'an-Pan,Lowland,Pepper,175.17,46.31,91.11,6.59,25.85,710.75,2.16
Qua'an-Pan,Lowland,Pepper,187.5,43.37,125.0,5.75,30.05,1186.9,1.06
Qua'an-Pan,Lowland,Pepper,154.68,53.77,72.41,7.38,33.75,450.0,2.3
Qua'an-Pan,Lowland,Pepper,161.66,41.09,93.85,8.12,27.44,450.0,1.78
Qua'an-Pan,Lowland,Pepper,150.15,52.93,108.15,6.96,29.91,765.11,2.13
Qua'an-Pan,Lowland,Pepper,212.5,60.13,85.67,6.11,30.55,450.0,2.29
Qua'an-Pan,Lowland,Pepper,113.5,18.75,81.7,5.15,26.21,1516.38,1.68
Qua'an-Pan,Lowland,Pepper,82.76,41.27,56.82,6.94,21.62,1316.72,1.24
Qua'an-Pan,Lowland,Pepper,168.44,62.5,86.12,5.29,29.72,877.21,1.9
Qua'an-Pan,Lowland,Cabbage,144.92,55.2,107.97,7.27,21.29,285.0,0.61
Qua'an-Pan,Lowland,Cabbage,143.92,53.1,126.53,6.3,19.57,446.17,1.41
Qua'an-Pan,Lowland,Cabbage,125.68,54.08,119.22,6.86,14.77,291.41,1.25
Qua'an-Pan,Lowland,Cabbage,142.79,81.13,134.81,5.18,22.85,416.96,1.14
Qua'an-Pan,Lowland,Cabbage,157.47,57.33,124.62,7.08,19.64,325.23,0.81
Qua'an-Pan,Lowland,Cabbage,158.98,57.66,103.13,6.5,17.95,359.89,1.35
Qua'an-Pan,Lowland,Cabbage,181.88,75.63,129.18,6.54,18.48,357.04,1.32
Qua'an-Pan,Lowland,Cabbage,146.4,48.41,98.29,6.41,7.5,339.11,0.57
Qua'an-Pan,Lowland,Cabbage,136.31,58.02,100.23,7.04,23.17,391.02,0.5
Qua'an-Pan,Lowland,Cabbage,172.14,56.59,126.17,7.55,28.14,285.0,1.0
Qua'an-Pan,Lowland,Cabbage,153.25,69.01,127.25,5.98,21.21,426.02,0.96
Qua'an-Pan,Lowland,Cabbage,165.75,65.53,137.84,5.63,24.02,372.73,1.39
Qua'an-Pan,Lowland,Cabbage,109.71,80.79,134.91,5.99,19.43,353.23,1.06
Qua'an-Pan,Lowland,Cabbage,145.87,43.11,118.63,5.17,9.64,520.35,1.41
Qua'an-Pan,Lowland,Cabbage,124.97,67.83,103.69,6.39,20.13,409.44,0.73
Qua'an-Pan,Lowland,Cabbage,134.9,55.06,107.25,7.52,13.85,305.18,0.56
Qua'an-Pan,Lowland,Cabbage,187.5,66.6,145.78,6.6,10.96,295.89,0.91
Qua'an-Pan,Lowland,Cabbage,100.73,62.94,97.9,6.47,20.97,465.47,0.81
Qua'an-Pan,Lowland,Cabbage,86.32,62.57,110.28,7.19,9.8,466.46,0.15
Qua'an-Pan,Lowland,Cabbage,152.38,68.18,153.11,6.91,25.18,332.07,0.15
Qua'an-Pan,Lowland,Cabbage,104.03,63.31,84.82,6.4,23.11,331.5,0.86
Qua'an-Pan,Lowland,Cabbage,128.01,62.51,99.02,6.97,20.94,358.07,0.46
Qua'an-Pan,Lowland,Cabbage,141.66,61.04,109.22,7.1,8.38,322.06,0.71
Qua'an-Pan,Lowland,Cabbage,187.5,71.52,136.76,6.89,25.79,295.94,1.3
Qua'an-Pan,Lowland,Cabbage,174.85,75.49,123.51,8.02,15.61,285.0,0.76
Qua'an-Pan,Lowland,Cabbage,187.5,78.39,121.54,6.76,20.27,342.78,1.23
Qua'an-Pan,Lowland,Cabbage,153.96,61.67,122.79,7.08,25.21,285.0,0.9
Qua'an-Pan,Lowland,Cabbage,161.81,64.41,162.5,7.76,14.97,350.56,0.15
Qua'an-Pan,Lowland,Cabbage,83.63,62.04,103.59,5.86,17.31,376.17,1.03
Qua'an-Pan,Lowland,Cabbage,161.21,60.64,146.88,6.89,12.46,285.69,1.02
Qua'an-Pan,Lowland,Cabbage,187.5,71.94,126.86,5.27,20.51,324.69,1.62
Qua'an-Pan,Lowland,Cabbage,168.03,73.65,114.63,6.31,30.0,288.9,1.3
Qua'an-Pan,Lowland,Cabbage,101.03,50.29,115.43,5.77,22.2,467.56,1.12
Qua'an-Pan,Lowland,Cabbage,174.33,72.27,118.64,7.49,22.61,285.0,0.9
Qua'an-Pan,Lowland,Cabbage,161.73,57.03,126.67,5.66,21.88,488.05,0.66
Qua'an-Pan,Lowland,Cabbage,154.49,44.44,112.11,6.49,10.23,369.65,1.07
Qua'an-Pan,Lowland,Cabbage,155.74,66.78,122.2,5.93,16.89,354.6,1.03
Qua'an-Pan,Lowland,Cabbage,98.76,74.14,108.92,5.86,10.77,415.12,0.93
Qua'an-Pan,Lowland,Cabbage,171.31,66.19,121.46,7.11,26.57,285.0,1.0
Qua'an-Pan,Lowland,Cabbage,107.36,46.93,120.5,6.53,20.71,285.0,1.33
Qua'an-Pan,Lowland,Cabbage,139.01,69.26,136.62,5.87,27.16,369.0,1.24
Qua'an-Pan,Lowland,Cabbage,135.44,62.97,125.73,6.01,25.37,353.38,0.97
Qua'an-Pan,Lowland,Cabbage,85.94,60.57,121.74,6.76,14.28,342.31,0.95
Qua'an-Pan,Lowland,Cabbage,130.08,59.88,101.47,6.47,23.15,371.74,1.54
Qua'an-Pan,Lowland,Cabbage,178.19,79.42,117.18,6.13,30.0,334.27,1.23
Qua'an-Pan,Lowland,Cabbage,138.41,62.05,120.01,6.41,26.69,332.67,1.16
Qua'an-Pan,Lowland,Cabbage,119.41,58.69,130.86,6.07,26.96,390.16,1.29
Qua'an-Pan,Lowland,Cabbage,137.04,64.42,124.55,5.57,16.87,469.49,0.53
Qua'an-Pan,Lowland,Cabbage,187.5,60.61,125.86,7.02,30.0,285.0,1.29
Qua'an-Pan,Lowland,Cabbage,165.27,57.83,125.79,6.39,18.66,424.31,1.1
Qua'an-Pan,Lowland,Maize,181.12,100.0,99.73,7.05,28.38,375.0,2.33
Qua'an-Pan,Lowland,Maize,165.99,37.5,45.0,5.97,23.33,713.92,0.33
Qua'an-Pan,Lowland,Maize,240.19,83.34,66.54,6.38,26.62,507.94,1.54
Qua'an-Pan,Lowland,Maize,201.32,83.14,86.27,6.08,30.2,847.67,0.71
Qua'an-Pan,Lowland,Maize,202.84,82.09,125.0,5.97,33.81,476.18,2.06
Qua'an-Pan,Lowland,Maize,206.66,76.2,115.12,9.38,23.08,375.0,0.59
Qua'an-Pan,Lowland,Maize,178.3,78.31,75.31,7.74,28.85,521.03,1.37
Qua'an-Pan,Lowland,Maize,142.06,66.13,60.69,7.88,34.41,551.0,0.3
Qua'an-Pan,Lowland,Maize,168.57,54.55,109.95,6.65,28.9,596.11,2.05
Qua'an-Pan,Lowland,Maize,181.02,100.0,100.03,6.1,28.5,707.73,0.51
Qua'an-Pan,Lowland,Maize,190.01,82.1,91.8,6.22,26.35,527.01,0.97
Qua'an-Pan,Lowland,Maize,192.66,58.25,85.94,5.1,23.99,796.96,1.4
Qua'an-Pan,Lowland,Maize,179.18,70.39,107.17,7.26,28.06,442.42,1.29
Qua'an-Pan,Lowland,Maize,223.29,82.14,106.12,6.24,33.92,375.0,2.24
Qua'an-Pan,Lowland,Maize,178.81,39.75,93.91,5.25,31.19,718.94,2.17
Qua'an-Pan,Lowland,Maize,161.51,58.56,77.1,7.46,27.32,430.53,1.65
Qua'an-Pan,Lowland,Maize,244.07,100.0,86.54,5.19,20.52,691.47,0.77
Qua'an-Pan,Lowland,Maize,224.43,88.65,111.55,6.12,23.55,479.81,2.32
Qua'an-Pan,Lowland,Maize,185.43,88.73,122.61,5.46,23.09,452.21,1.39
Qua'an-Pan,Lowland,Maize,199.87,86.89,86.61,7.62,25.89,446.4,1.04
Qua'an-Pan,Lowland,Maize,187.7,72.46,94.43,6.71,26.6,645.66,0.84
Qua'an-Pan,Lowland,Maize,170.92,51.93,80.44,4.69,26.44,828.88,1.6
Qua'an-Pan,Lowland,Maize,165.2,86.0,107.95,6.75,32.28,530.93,2.2
Qua'an-Pan,Lowland,Maize,163.7,85.3,57.05,5.99,26.4,939.65,0.3
Qua'an-Pan,Lowland,Maize,192.85,67.14,125.0,6.78,31.68,521.52,2.5
Qua'an-Pan,Lowland,Maize,250.0,82.59,125.0,8.92,18.87,392.79,0.82
Qua'an-Pan,Lowland,Maize,221.7,96.81,45.42,6.81,26.49,468.53,1.85
Qua'an-Pan,Lowland,Maize,184.22,65.84,92.14,5.95,28.46,566.71,1.45
Qua'an-Pan,Lowland,Maize,205.13,72.31,69.39,4.79,34.33,615.95,1.72
Qua'an-Pan,Lowland,Maize,221.12,100.0,73.78,6.75,15.0,436.43,1.17
Qua'an-Pan,Lowland,Maize,195.98,60.87,78.51,6.76,24.85,539.8,1.15
Qua'an-Pan,Lowland,Maize,215.17,66.32,75.8,5.65,35.0,523.71,2.33
Qua'an-Pan,Lowland,Maize,220.66,62.3,78.97,6.02,30.51,547.09,1.28
Qua'an-Pan,Lowland,Maize,232.67,69.22,93.53,7.03,26.57,375.0,2.13
Qua'an-Pan,Lowland,Maize,198.74,59.98,74.59,6.73,22.92,436.85,1.68
Qua'an-Pan,Lowland,Maize,180.88,71.78,99.88,6.6,28.74,737.48,0.73
